149|0.00|Ciqual 1995||5|319
150|0.550|Ciqual 1995||5|394
151|41.000|Ciqual 1995||5|401
152|0.080|Ciqual 1995||5|404
153|0.040|Ciqual 1995||5|405
154|0.300|Ciqual 1995||5|406
155|0.200|Ciqual 1995||5|410
156|0.040|Ciqual 1995||5|415
157|26.000|Ciqual 1995||5|417
158|0.000|Ciqual 1995||5|601
159|0.000|Ciqual 1995||5|606
160|0.000|Ciqual 1995||5|645
161|0.000|Ciqual 1995||5|646
162|186.0|Ciqual 1995||5|268
163|0.00|Ciqual 1995||5|209
164|10.00|Ciqual 1995||5|205
165|0.000|Unknown||5|210
166|0.100|Unknown||5|309
167|0.030|Unknown||5|312
168|0.040|Unknown||5|315
169|0.000|Unknown||5|317
170|0.60|Ciqual 1995||6|203
171|0.30|Ciqual 1995||6|204
172|22.00|Ciqual 1995||6|208
173|0.000|Ciqual 1995||6|221
174|89.100|Ciqual 1995||6|255
175|2.800|Ciqual 1995||6|291
176|24.00|Ciqual 1995||6|301
177|0.600|Ciqual 1995||6|303
178|8.000|Ciqual 1995||6|304
179|22.000|Ciqual 1995||6|305
180|144.000|Ciqual 1995||6|306
181|3.00|Ciqual 1995||6|307
182|0.000|Ciqual 1995||6|324
183|0.000|Ciqual 1995||6|319
184|42.000|Ciqual 1995||6|401
185|0.030|Ciqual 1995||6|404
186|0.020|Ciqual 1995||6|405
187|0.200|Ciqual 1995||6|406
188|0.040|Ciqual 1995||6|415
189|10.000|Ciqual 1995||6|417
190|0.000|Ciqual 1995||6|601
191|0.030|Ciqual 1995||6|606
192|0.030|Ciqual 1995||6|645
193|0.100|Ciqual 1995||6|646
194|0.000|Ciqual 1995||6|209
195|1.00|Ciqual 1995||6|205
196|0.000|Unknown||6|210
197|0.00|Ciqual 1995||6|418
198|0.20|Ciqual 1995||6|410
199|0.900|Ciqual 1995||7|203
200|0.200|Ciqual 1995||7|204
201|62.00|Ciqual 1995||7|208
202|0.000|Ciqual 1995||7|221
203|82.700|Ciqual 1995||7|255
204|1.300|Ciqual 1995||7|291
205|5.000|Ciqual 1995||7|301
206|0.400|Ciqual 1995||7|303
207|8.000|Ciqual 1995||7|304
208|27.000|Ciqual 1995||7|305
209|156.000|Ciqual 1995||7|306
210|1.000|Ciqual 1995||7|307
211|0.000|Ciqual 1995||7|324
212|0.000|Ciqual 1995||7|319
213|60.000|Ciqual 1995||7|401
214|0.030|Ciqual 1995||7|404
215|0.060|Ciqual 1995||7|405
216|0.520|Ciqual 1995||7|406
217|70.000|Ciqual 1995||7|417
218|0.000|Ciqual 1995||7|601
219|0.000|Ciqual 1995||7|606
220|0.000|Ciqual 1995||7|645
221|0.000|Ciqual 1995||7|646
222|0.10|Ciqual 1995||7|209
223|14.600|Ciqual 1995||7|205
224|0.000|Unknown||7|210
225|0.00|Ciqual 1995||7|418
226|0.60|Ciqual 1995||8|203
227|0.20|Ciqual 1995||8|204
228|56.00|Ciqual 1995||8|208
229|0.000|Ciqual 1995||8|221
230|83.000|Ciqual 1995||8|255
231|2.30|Ciqual 1995||8|291
232|20.000|Ciqual 1995||8|301
233|1.200|Ciqual 1995||8|303
234|9.000|Ciqual 1995||8|304
235|22.000|Ciqual 1995||8|305
236|150.000|Ciqual 1995||8|306
237|2.000|Ciqual 1995||8|307
238|0.100|Ciqual 1996||8|309
239|0.100|Ciqual 1996||8|312
240|0.160|Ciqual 1996||8|315
241|0.60|Ciqual 1996||8|317
242|0.000|Ciqual 1995||8|324
243|0.00|Ciqual 1995||8|319
244|1.800|Ciqual 1995||8|394
245|44.000|Ciqual 1995||8|401
246|0.030|Ciqual 1995||8|404
247|0.050|Ciqual 1995||8|405
248|0.400|Ciqual 1995||8|406
249|0.080|Ciqual 1995||8|415
250|51.000|Ciqual 1995||8|417
251|0.000|Ciqual 1995||8|601
252|0.05|Ciqual 1995||8|606
253|0.07|Ciqual 1995||8|645
254|0.03|Ciqual 1995||8|646
255|0.30|Ciqual 1995||8|209
256|13.40|Ciqual 1995||8|205
257|0.000|Unknown||8|210
258|0.00|Ciqual 1995||8|418
259|0.16|Ciqual 1995||8|410
260|0.40|Ciqual 1995||9|203
261|0.200|Ciqual 1995||9|204
262|47.00|Ciqual 1995||9|208
263|0.000|Ciqual 1995||9|221
264|86.50|Ciqual 1995||9|255
265|1.400|Ciqual 1995||9|291
266|15.000|Ciqual 1995||9|301
267|0.30|Ciqual 1995||9|303
268|15.00|Ciqual 1995||9|304
269|11.000|Ciqual 1995||9|305
270|146.000|Ciqual 1995||9|306
271|2.000|Ciqual 1995||9|307
272|0.10|Ciqual 1996||9|309
273|0.11|Ciqual 1996||9|312
274|0.400|Ciqual 1996||9|315
275|0.40|Ciqual 1996||9|317
276|0.000|Ciqual 1995||9|324
277|0.00|Ciqual 1995||9|319
278|0.100|Ciqual 1995||9|394
279|18.000|Ciqual 1995||9|401
280|0.080|Ciqual 1995||9|404
281|0.030|Ciqual 1995||9|405
282|0.300|Ciqual 1995||9|406
283|0.160|Ciqual 1995||9|410
284|0.090|Ciqual 1995||9|415
285|14.000|Ciqual 1995||9|417
286|0.000|Ciqual 1995||9|601
287|0.000|Ciqual 1995||9|606
288|0.000|Ciqual 1995||9|645
289|0.080|Ciqual 1995||9|646
290|0.000|Ciqual 1995||9|209
291|11.30|Ciqual 1995||9|205
292|0.000|Unknown||9|210
293|0.00|Ciqual 1995||9|418
294|1.100|Ciqual 1995||10|203
295|0.300|Ciqual 1995||10|204
296|89.00|Ciqual 1995||10|208
297|0.000|Ciqual 1995||10|221
298|74.00|Ciqual 1995||10|255
299|2.000|Ciqual 1995||10|291
300|8.000|Ciqual 1995||10|301
301|0.400|Ciqual 1995||10|303
302|30.000|Ciqual 1995||10|304
303|22.000|Ciqual 1995||10|305
304|385.000|Ciqual 1995||10|306
305|1.000|Ciqual 1995||10|307
306|0.19|Ciqual 1996||10|309
307|0.110|Ciqual 1996||10|312
308|0.30|Ciqual 1996||10|315
309|0.70|Ciqual 1996||10|317
310|0.000|Ciqual 1995||10|324
311|0.00|Ciqual 1995||10|319
312|0.290|Ciqual 1995||10|394
313|12.000|Ciqual 1995||10|401
314|0.040|Ciqual 1995||10|404
315|0.070|Ciqual 1995||10|405
316|0.610|Ciqual 1995||10|406
317|0.470|Ciqual 1995||10|415
318|23.000|Ciqual 1995||10|417
319|0.000|Ciqual 1995||10|601
320|0.120|Ciqual 1995||10|606
321|0.000|Ciqual 1995||10|645
322|0.060|Ciqual 1995||10|646
323|3.800|Ciqual 1995||10|209
324|21.000|Ciqual 1995||10|205
325|0.000|Unknown||10|210
326|0.00|Ciqual 1995||10|418
327|0.28|Ciqual 1995||10|410
328|1.10|Ciqual 1995||11|203
329|0.60|Ciqual 1995||11|204
