80|Avocat||21941||300|fruits-oleagineux/avocat-150g.jpg||||
81|Olives noires||21940||60|fruits-oleagineux/olives-noires(p).jpg||||
82|Olives vertes||21942||60|fruits-oleagineux/olives-20g.jpg||||
83|Noix de coco sèchée||23461||100|vaisselle/cuillere-soupe(p).jpg||||
84|Pistache|Pistache sans coque|21937||100|fruits-oleagineux/pistaches-50g.jpg||||Pistache sans coque
86|Noisettes sans coque||21939||100|fruits-oleagineux/noisettes-25g.jpg||||
87|Noix cajou salées||21930||100|fruits-oleagineux/amandes-50g.jpg||||
88|Noix sans coque|Noix sans coque|21931||100|fruits-oleagineux/noix-150g.jpg||||Noix sans coque
89|Noix de coco fraiche||21933||0|fruits-oleagineux/noix-coco-centrees(p).jpg||||
90|Cacahuete grillee salee||21944||60|aperitifs/cacahouete-sale.JPG||||
91|Pâte d'arachide|Pâte d'arachide (beurre de cacahuète)|23462||0|vaisselle/cuillere-soupe(p).jpg||||Pâte d'arachide (beurre de cacahuète)
92|Cacahuète avec coque||21947||80|fruits-oleagineux/arachide(p).jpg|0|0||
93|Graines de tournesol||21950||0|vaisselle/cuillere-soupe(p).jpg||||
94|Pignon|Pignon de pin|21951||0|vaisselle/cuillere-soupe(p).jpg||||Pignon de pin
95|Biscuit Aperitif sale graines+raisins secs||21952||60|nouvelles-categories/poids-10gr.jpg|0|0||
96|Graine de sésame||21953||0|fruits-oleagineux/sesame-p.jpg||||
98|Flocons purée complète reconstituée mousline (maggi)||21587|pas de photos|0|sans-photos.jpg||||
99|Salade piemontaise|Salade piemontaise (prorest)|22897||500|feculents/pdt-vapeur-150g.jpg||||Salade piemontaise (prorest)
100|Salade de pommes de terre|Salade de pommes de terre|23103||500|feculents/pdt-vapeur-150g.jpg||||Salade de pommes de terre
101|Gratin dauphinois ind.|Gratin dauphinois industriel|22823||500|feculents/gratin-dauphinois-100g.jpg||||Gratin dauphinois industriel
102|Hachis parmentier||23484||500|plats/hachis-Parm-450g.jpg||||
103|Pomme de terre au four||23423||500|feculents/pommes-en-robe-des-champs-300g.jpg||||
104|Pomme de terre à l'eau|Pomme de terre cuite à l'eau|23424||500|feculents/pommes-de-terre-200g.jpg||||Pomme de terre cuite à l'eau
105|Pomme de terre en papillotte||23437||500|/feculents/pommes-en-robe-des-champs-300g.jpg||||
106|Pomme de terre cuite sans MG|Pomme de terre en cocotte sans MG|23438||500|/feculents/pommes-en-robe-des-champs-300g.jpg||||Pomme de terre en cocotte sans MG
107|Pomme de terre vapeur||23441||500|feculents/pommes-de-terre-200g.jpg||||
108|Frites salées||23523||200|feculents/frites-100g.jpg||||
109|Chips||21573||60|aperitifs/chips-50g.jpg||||
110|Frites sans sel||21574||200|feculents/frites-150g.jpg||||
111|Pomme dauphine cuite||21577||500|feculents/pommes-dauphine-200g.jpg||||
112|Pommes de terre sautées||21578||300|feculents/pommes-de-terre-sautees-200g.jpg||||
113|Potatoes|pomme de terre mac do|23524||300|fast-food/potatoes.jpg|0|0||pomme de terre mac do
114|Pommes noisettes|Pommes noisettes surgelees|21579||300|feculents/pommes-dauphine-200g.jpg||||Pommes noisettes surgelees
115|Haricots rouges cuits nature|Haricots rouges cuits, natures -|20584||500|feculents/haricots-blancs-200g.jpg|0|0||Haricots rouges cuits, natures -
116|Chili con carne||22782||500|plats/chili-300g.JPG||||
117|Haricots rouges secs|Haricots rouges crus|22790||150|vaisselle/cuillere-soupe(p).jpg||||Haricots rouges crus
118|Haricots blancs cuits nature|Haricots blancs cuits, natures, sans sel|20583||500|feculents/haricots-blancs-200g.jpg|0|0||Haricots blancs cuits, natures, sans sel
119|Cassoulet en conserve||22780||800|plats/cassoulet-320g.JPG||||
120|Cassoulet maison||22781||800|plats/cassoulet-160g.JPG||||
121|Haricots lingots secs||21379||150|feculents/haricot-blanc-cru-cs.jpg||||
122|Purée de pois cassés||21533||500|legumes/puree-brocolis-200g.jpg||||
123|Pois cassés cuits|Pois cassés cuits, natures|20586||500|feculents/lentilles-200g.jpg||||Pois cassés cuits, natures
125|Lentille crue||22785||150|feculents/lentilles-crues-cs(p).jpg||||
126|Salade de lentilles avec MG||22794||500|feculents/lentilles-200g.jpg||||
127|Lentilles cuites natures||21537||500|feculents/lentilles-100g.jpg||||
128|Houmous|Houmous (purée de pois chiche)|24750|pas de photos|200|feculents/puree-200g.jpg||||Houmous (purée de pois chiche)
129|Fève fraiche crue||21416||500|feculents/feves.JPG||||
130|Fève cuite||21539||500|feculents/flageolets-200g.jpg||||
131|Fèves sèches cuites||22803||500|feculents/flageolets-200g.jpg||||
132|Tortillas de maïs||23431||200|feculents/tortillas(p).jpg||||
133|Pop corn nature|Pop corn nature (sans MG) mais|23300||0|cereales-pd/pop-corn-50g.jpg|0|0||Pop corn nature (sans MG) mais
134|Maïs doux|Maïs doux, conserve|20589||500|feculents/mais-150g.jpg|0|0||Maïs doux, conserve
135|Pop-corn|Pop-corn salé|20590||100|cereales-pd/pop-corn-50g.jpg||||Pop-corn salé
136|Maïzena|maizena, fécule de maïs|20395||0|vaisselle/cuillere-cafe(p).jpg||||maizena, fécule de maïs
137|Maïs doux en épi|Maïs doux en épi cuit|23358|pas de photos|500|sans-photos.jpg|0|0||Maïs doux en épi cuit
138|Semoule de maïs crue||23401||160|vaisselle/cuillere-soupe(p).jpg||||
139|Semoule crue||20400||160|vaisselle/cuillere-soupe(p).jpg||||
140|Semoule cuite||23399||500|feculents/semoule-300g.jpg||||
141|Taboulé||22903||500|feculents/taboule-80g.jpg||||
143|Ravioli volaille|Ravioli pure volaille sauce italienne (buitoni)|22829||500|plats/raviolis-200g.JPG||||Ravioli pure volaille sauce italienne (buitoni)
144|Raviolis au boeuf frais|Raviolis au boeuf frais non cuits (luison)|22832|pas de photos|500|sans-photos.jpg||||Raviolis au boeuf frais non cuits (luison)
145|Cannellonis à la viande||22833||500|plats/canellonis-300g.jpg||||
146|Gnocchis||22835||500|feculents/haricots-blancs-200g.jpg||||
148|Raviolis  natures||22838|pas de photos|500|plats/raviolis-200g.JPG||||
